OBJECTID,CAM17U_COD,CAM17U_DEN,WIKIDATA,CAM17U_NOM,POP_2011,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
114,CU091_06,Toscana - 06,Q48080104,Pistoia,254540.0,189826.461361,918682878.198,country:it/region:tos/cam_uni:cu091-06,country:it/region:tos
115,CU091_07,Toscana - 07,Q48080110,Arezzo,276220.0,384372.554308,2526914569.58,country:it/region:tos/cam_uni:cu091-07,country:it/region:tos
116,CU091_08,Toscana - 08,Q48080117,Massa,280128.0,282043.396465,1410134912.73,country:it/region:tos/cam_uni:cu091-08,country:it/region:tos
117,CU091_09,Toscana - 09,Q48080123,Lucca,288323.0,254706.55991,1473484238.14,country:it/region:tos/cam_uni:cu091-09,country:it/region:tos
118,CU091_10,Toscana - 10,Q48080128,Pisa,253083.0,152968.156807,645615591.139,country:it/region:tos/cam_uni:cu091-10,country:it/region:tos
119,CU091_11,Toscana - 11,Q48080138,Poggibonsi,252270.0,363646.248597,2634802564.78,country:it/region:tos/cam_uni:cu091-11,country:it/region:tos
120,CU091_12,Toscana - 12,Q48080149,Siena,255965.0,450423.953625,3801943271.54,country:it/region:tos/cam_uni:cu091-12,country:it/region:tos
121,CU091_13,Toscana - 13,Q48080159,Livorno,269486.0,322015.223112,838659855.404,country:it/region:tos/cam_uni:cu091-13,country:it/region:tos
122,CU091_14,Toscana - 14,Q48080169,Grosseto,286325.0,807036.84654,4877968809.18,country:it/region:tos/cam_uni:cu091-14,country:it/region:tos
123,CU101_01,Umbria - 01,Q48080179,Perugia,282962.0,293866.437871,1636127405.06,country:it/region:umb/cam_uni:cu101-01,country:it/region:umb
124,CU101_02,Umbria - 02,Q48080187,Foligno,304452.0,645244.37589,3929883822.47,country:it/region:umb/cam_uni:cu101-02,country:it/region:umb
125,CU101_03,Umbria - 03,Q48080198,Terni,296854.0,423414.894891,2898211898.38,country:it/region:umb/cam_uni:cu101-03,country:it/region:umb
126,CU111_01,Marche - 01,Q48080208,Ascoli Piceno,244650.0,251037.474909,1672974471.02,country:it/region:mar/cam_uni:cu111-01,country:it/region:mar
127,CU111_02,Marche - 02,Q48080216,Civitanova Marche,271052.0,198397.818784,768354825.225,country:it/region:mar/cam_uni:cu111-02,country:it/region:mar
128,CU111_03,Marche - 03,Q48080227,Macerata,263960.0,348636.842367,2658151387.81,country:it/region:mar/cam_uni:cu111-03,country:it/region:mar
129,CU111_04,Marche - 04,Q48080233,Ancona,263789.0,328043.726227,1273580128.05,country:it/region:mar/cam_uni:cu111-04,country:it/region:mar
130,CU111_05,Marche - 05,Q48080241,Fano,261926.0,266384.428184,1022671753.22,country:it/region:mar/cam_uni:cu111-05,country:it/region:mar
131,CU111_06,Marche - 06,Q48080252,Pesaro,235942.0,423633.270568,2005450710.22,country:it/region:mar/cam_uni:cu111-06,country:it/region:mar
132,CU121_01,Lazio 1 - 01,Q48080258,Roma - Quartiere Trionfale,216035.0,36190.217197,29128851.7289,country:it/region:laz/cam_uni:cu121-01,country:it/region:laz
